"Name", "e-mail"
"Jim Halpert", "jim.halpert@dunderm.com"
"Pam Beesly", "pam.beesly@dunderm.com"
"Michael Scott", "michael.scott@dunderm.com"
"Dwight Schrute", "dwight.schrute@dunderm.com"
"Oscar Martinez", "oscar.martinez@dunderm.com"
"Andy Bernard", "andy.bernard@dunderm.com"
"Holly Flax", "holly.flax@dunderm.com"
"Angela Martin", "angela.martin@dunderm.com"
"Erin Hannon", "erin.hannon@dunderm.com"
"Kelly Kapoor", "kelly.kapoor@dunderm.com"
"Ryan Howard", "ryan.howard@dunderm.com"
"Stanley Hudson", "stanley.hudson@dunderm.com"
"Meredith Palmer", "meredith.palmer@dunderm.com"
